strain	virus	date	accession_id	region	country	province	division	location
hCoV_19_Madagascar_IPM_05857_2021_EPI_ISL_4297663_2021_04_07	sars_cov_2	2020-07-06	EPI_ISL_3716504	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_05769_2021_EPI_ISL_4297664_2021_04_11	sars_cov_2	2020-07-18	EPI_ISL_3716535	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_05761_2021_EPI_ISL_4297665_2021_04_09	sars_cov_2	2020-07-26	EPI_ISL_3716566	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_04335_2021_EPI_ISL_4297666_2021_04_20	sars_cov_2	2020-08-15	EPI_ISL_3716582	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_07354_2021_EPI_ISL_4297667_2021_04_22	sars_cov_2	2020-08-19	EPI_ISL_3716587	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_61351_2021_EPI_ISL_4297668_2021_04_16	sars_cov_2	2020-08-24	EPI_ISL_3716601	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_07987_2021_EPI_ISL_4297669_2021_04_17	sars_cov_2	2020-09-05	EPI_ISL_3716619	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_07501_2021_EPI_ISL_4297670_2021_04_17	sars_cov_2	2020-09-05	EPI_ISL_3716620	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_07510_2021_EPI_ISL_4297671_2021_04_14	sars_cov_2	2020-09-13	EPI_ISL_3716632	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_07602_2021_EPI_ISL_4297672_2021_04_14	sars_cov_2	2020-09-13	EPI_ISL_3716633	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_08282_2021_EPI_ISL_4297673_2021_04_19	sars_cov_2	2020-09-20	EPI_ISL_3716640	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_06984_2021_EPI_ISL_4297674_2021_04_15	sars_cov_2	2020-10-13	EPI_ISL_3716653	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_07898_2021_EPI_ISL_4297675_2021_04_15	sars_cov_2	2020-12-12	EPI_ISL_3716688	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_07918_2021_EPI_ISL_4297676_2021_04_15	sars_cov_2	2021-03-27	EPI_ISL_4297569	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_08063_2021_EPI_ISL_4297677_2021_04_17	sars_cov_2	2021-04-02	EPI_ISL_4297582	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_08099_2021_EPI_ISL_4297678_2021_04_17	sars_cov_2	2021-04-02	EPI_ISL_4297583	Africa	Madagascar	Toliara	Menabe	Morondava
hCoV_19_Madagascar_IPM_08110_2021_EPI_ISL_4297679_2021_04_17	sars_cov_2	2021-02-10	EPI_ISL_1660264	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_61431_2021_EPI_ISL_4297680_2021_04_17	sars_cov_2	2021-04-26	EPI_ISL_4297738	Africa	Madagascar	Toamasina	Aloatra-Mangoro	Toamasina-I
hCoV_19_Madagascar_IPM_61510_2021_EPI_ISL_4297681_2021_04_20	sars_cov_2	2021-04-23	EPI_ISL_4297739	Africa	Madagascar	Toamasina	Aloatra-Mangoro	Toamasina-I
hCoV_19_Madagascar_IPM_61511_2021_EPI_ISL_4297682_2021_04_20	sars_cov_2	2020-03-20	EPI_ISL_508862	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_07283_2021_EPI_ISL_4297683_2021_04_16	sars_cov_2	2020-03-22	EPI_ISL_508863	Africa	Madagascar	Analamanga	Fenoarivo	Antananarivo-Atsimondrano
hCoV_19_Madagascar_IPM_05402_2021_EPI_ISL_4297684_2021_04_08	sars_cov_2	2020-05-04	EPI_ISL_625456	Africa	Madagascar	Toamasina	NA	Toamasina-I
hCoV_19_Madagascar_IPM_05429_2021_EPI_ISL_4297685_2021_04_08	sars_cov_2	2020-09-16	EPI_ISL_677634	Africa	Madagascar	Antananarivo	NA	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05430_2021_EPI_ISL_4297686_2021_04_08	sars_cov_2	2020-03-26	EPI_ISL_677635	Africa	Madagascar	Toamasina	NA	Toamasina-I
hCoV_19_Madagascar_IPM_05431_2021_EPI_ISL_4297687_2021_04_08	sars_cov_2	2020-03-26	EPI_ISL_677636	Africa	Madagascar	Toamasina	NA	Toamasina-I
hCoV_19_Madagascar_IPM_05439_2021_EPI_ISL_4297688_2021_04_08	sars_cov_2	2021-07-06	EPI_ISL_7722671	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05443_2021_EPI_ISL_4297689_2021_04_07	sars_cov_2	2021-07-07	EPI_ISL_7722689	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05444_2021_EPI_ISL_4297690_2021_04_07	sars_cov_2	2021-07-08	EPI_ISL_7722703	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05448_2021_EPI_ISL_4297691_2021_04_08	sars_cov_2	2021-07-13	EPI_ISL_7722739	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05449_2021_EPI_ISL_4297692_2021_04_09	sars_cov_2	2021-07-15	EPI_ISL_7722758	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05451_2021_EPI_ISL_4297693_2021_04_09	sars_cov_2	2021-07-15	EPI_ISL_7722763	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05454_2021_EPI_ISL_4297694_2021_04_09	sars_cov_2	2021-07-16	EPI_ISL_7722772	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05467_2021_EPI_ISL_4297695_2021_04_09	sars_cov_2	2021-07-18	EPI_ISL_7722776	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05468_2021_EPI_ISL_4297696_2021_04_09	sars_cov_2	2021-07-16	EPI_ISL_7722826	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05479_2021_EPI_ISL_4297697_2021_04_09	sars_cov_2	2021-07-18	EPI_ISL_7722834	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05481_2021_EPI_ISL_4297698_2021_04_05	sars_cov_2	2021-07-18	EPI_ISL_7722838	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_05483_2021_EPI_ISL_4297699_2021_04_01	sars_cov_2	2021-07-10	EPI_ISL_7722894	Africa	Madagascar	Fianarantsoa	Amoron’i-Mania	Fianarantsoa-I
hCoV_19_Madagascar_IPM_06808_2021_EPI_ISL_4297700_2021_04_14	sars_cov_2	2021-07-16	EPI_ISL_7722903	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_06823_2021_EPI_ISL_4297701_2021_04_14	sars_cov_2	2021-07-18	EPI_ISL_7722909	Africa	Madagascar	Antananarivo	Analamanga	Antananarivo-Renivohitra
hCoV_19_Madagascar_IPM_06826_2021_EPI_ISL_4297702_2021_04_14	sars_cov_2	2020-11-10	EPI_ISL_1660229	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_06829_2021_EPI_ISL_4297703_2021_04_14	sars_cov_2	2020-11-11	EPI_ISL_1660230	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_06830_2021_EPI_ISL_4297704_2021_04_14	sars_cov_2	2021-02-15	EPI_ISL_1660272	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_06890_2021_EPI_ISL_4297705_2021_04_12	sars_cov_2	2021-02-15	EPI_ISL_1660273	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05374_2021_EPI_ISL_4297706_2021_04_07	sars_cov_2	2021-02-15	EPI_ISL_1660274	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05377_2021_EPI_ISL_4297707_2021_04_07	sars_cov_2	2021-02-26	EPI_ISL_1660283	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05379_2021_EPI_ISL_4297708_2021_04_07	sars_cov_2	2021-02-22	EPI_ISL_1660286	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05382_2021_EPI_ISL_4297709_2021_04_09	sars_cov_2	2020-11-06	EPI_ISL_1660292	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05459_2021_EPI_ISL_4297710_2021_04_08	sars_cov_2	2020-10-26	EPI_ISL_1660310	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05460_2021_EPI_ISL_4297711_2021_04_07	sars_cov_2	2020-11-02	EPI_ISL_1660311	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_06894_2021_EPI_ISL_4297712_2021_04_15	sars_cov_2	2020-11-16	EPI_ISL_1660319	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05385_2021_EPI_ISL_4297713_2021_04_08	sars_cov_2	2020-11-16	EPI_ISL_1660320	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05387_2021_EPI_ISL_4297714_2021_04_08	sars_cov_2	2020-11-24	EPI_ISL_1660321	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05389_2021_EPI_ISL_4297715_2021_04_09	sars_cov_2	2021-02-01	EPI_ISL_1672390	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_05393_2021_EPI_ISL_4297716_2021_04_08	sars_cov_2	2020-06-21	EPI_ISL_3716470	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_06897_2021_EPI_ISL_4297717_2021_04_15	sars_cov_2	2020-06-21	EPI_ISL_3716471	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_06909_2021_EPI_ISL_4297718_2021_04_15	sars_cov_2	2020-06-22	EPI_ISL_3716490	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_06912_2021_EPI_ISL_4297719_2021_04_15	sars_cov_2	2020-06-22	EPI_ISL_3716491	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_61178_2021_EPI_ISL_4297720_2021_04_12	sars_cov_2	2020-06-24	EPI_ISL_3716492	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_61179_2021_EPI_ISL_4297721_2021_04_12	sars_cov_2	2020-06-29	EPI_ISL_3716510	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_61181_2021_EPI_ISL_4297722_2021_04_12	sars_cov_2	2020-07-13	EPI_ISL_3716528	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_61183_2021_EPI_ISL_4297723_2021_04_12	sars_cov_2	2020-07-13	EPI_ISL_3716550	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_61197_2021_EPI_ISL_4297724_2021_04_13	sars_cov_2	2020-09-09	EPI_ISL_3716631	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_61202_2021_EPI_ISL_4297725_2021_04_13	sars_cov_2	2020-10-05	EPI_ISL_3716652	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_61203_2021_EPI_ISL_4297726_2021_04_13	sars_cov_2	2020-10-13	EPI_ISL_3716657	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_61209_2021_EPI_ISL_4297727_2021_04_13	sars_cov_2	2020-10-20	EPI_ISL_3716664	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_IPM_61215_2021_EPI_ISL_4297728_2021_04_13	sars_cov_2	2020-10-26	EPI_ISL_3716667	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_65419_2021_EPI_ISL_4297729_2021_04_07	sars_cov_2	2020-11-09	EPI_ISL_3716670	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_65420_2021_EPI_ISL_4297730_2021_04_18	sars_cov_2	2020-11-23	EPI_ISL_3716681	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_65421_2021_EPI_ISL_4297731_2021_04_24	sars_cov_2	2020-12-02	EPI_ISL_3716686	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_65422_2021_EPI_ISL_4297732_2021_04_07	sars_cov_2	2021-02-03	EPI_ISL_3716701	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_69934_2021_EPI_ISL_4297733_2021_03_29	sars_cov_2	2021-02-09	EPI_ISL_3716703	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_74764_2021_EPI_ISL_4297734_2021_03_30	sars_cov_2	2021-02-15	EPI_ISL_3716707	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_74773_2021_EPI_ISL_4297735_2021_03_30	sars_cov_2	2021-02-01	EPI_ISL_3716833	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_87652_2021_EPI_ISL_4297736_2021_04_08	sars_cov_2	2021-02-15	EPI_ISL_3716837	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_87685_2021_EPI_ISL_4297737_2021_04_08	sars_cov_2	2021-03-15	EPI_ISL_4297619	Africa	Madagascar	Antsiranana	Diana	Nosy-Be
hCoV_19_Madagascar_LA2M_89849_2021_EPI_ISL_4297738_2021_04_26	sars_cov_2	2021-04-16	EPI_ISL_4297745	Africa	Madagascar	Antsiranana	Sava	Sambava
hCoV_19_Madagascar_LA2M_89853_2021_EPI_ISL_4297739_2021_04_23	sars_cov_2	2021-04-20	EPI_ISL_4297746	Africa	Madagascar	Antsiranana	Sava	Sambava
hCoV_19_Madagascar_LA2M_89856_2021_EPI_ISL_4297740_2021_04_14	sars_cov_2	2021-04-18	EPI_ISL_4297747	Africa	Madagascar	Antsiranana	Sava	Sambava
hCoV_19_Madagascar_LA2M_89947_2021_EPI_ISL_4297741_2021_04_23	sars_cov_2	2021-07-15	EPI_ISL_7722768	Africa	Madagascar	Antananarivo	Itasy	Soavinandriana
hCoV_19_Madagascar_LA2M_89948_2021_EPI_ISL_4297742_2021_04_26	sars_cov_2	2020-05-25	EPI_ISL_3716422	Africa	Madagascar	Toliara	Anosy	Taolagnaro
hCoV_19_Madagascar_LA2M_89954_2021_EPI_ISL_4297743_2021_04_14	sars_cov_2	2021-04-14	EPI_ISL_4297743	Africa	Madagascar	Toliara	Anosy	Taolagnaro
hCoV_19_Madagascar_LA2M_89985_2021_EPI_ISL_4297744_2021_04_10	sars_cov_2	2021-04-10	EPI_ISL_4297744	Africa	Madagascar	Toliara	Anosy	Taolagnaro
hCoV_19_Madagascar_LA2M_89991_2021_EPI_ISL_4297745_2021_04_16	sars_cov_2	2020-04-03	EPI_ISL_3716379	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_LA2M_89997_2021_EPI_ISL_4297746_2021_04_20	sars_cov_2	2020-04-08	EPI_ISL_3716382	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_LA2M_90007_2021_EPI_ISL_4297747_2021_04_18	sars_cov_2	2020-04-30	EPI_ISL_3716390	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_LA2M_90541_2021_EPI_ISL_4297748_2021_04_26	sars_cov_2	2020-05-02	EPI_ISL_3716391	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06557_2021_EPI_ISL_4297749_2021_04_07	sars_cov_2	2020-05-01	EPI_ISL_3716392	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_04262_2021_EPI_ISL_4297750_2021_04_09	sars_cov_2	2020-05-04	EPI_ISL_3716393	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_04272_2021_EPI_ISL_4297751_2021_04_12	sars_cov_2	2020-05-16	EPI_ISL_3716396	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_04275_2021_EPI_ISL_4297752_2021_04_12	sars_cov_2	2020-05-16	EPI_ISL_3716397	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_04281_2021_EPI_ISL_4297753_2021_04_13	sars_cov_2	2020-05-15	EPI_ISL_3716409	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_04282_2021_EPI_ISL_4297754_2021_04_13	sars_cov_2	2020-05-20	EPI_ISL_3716411	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_04287_2021_EPI_ISL_4297755_2021_04_13	sars_cov_2	2020-05-20	EPI_ISL_3716414	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06411_2021_EPI_ISL_4297756_2021_04_13	sars_cov_2	2020-05-20	EPI_ISL_3716415	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06412_2021_EPI_ISL_4297757_2021_04_13	sars_cov_2	2020-05-27	EPI_ISL_3716426	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06416_2021_EPI_ISL_4297758_2021_04_07	sars_cov_2	2020-05-29	EPI_ISL_3716427	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06418_2021_EPI_ISL_4297759_2021_04_07	sars_cov_2	2020-05-29	EPI_ISL_3716431	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06421_2021_EPI_ISL_4297760_2021_04_13	sars_cov_2	2020-05-29	EPI_ISL_3716432	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06430_2021_EPI_ISL_4297761_2021_04_13	sars_cov_2	2020-06-03	EPI_ISL_3716434	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06433_2021_EPI_ISL_4297762_2021_04_13	sars_cov_2	2020-06-04	EPI_ISL_3716437	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06439_2021_EPI_ISL_4297763_2021_04_13	sars_cov_2	2020-06-04	EPI_ISL_3716441	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06448_2021_EPI_ISL_4297764_2021_04_13	sars_cov_2	2020-06-05	EPI_ISL_3716442	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_61218_2021_EPI_ISL_4297765_2021_04_14	sars_cov_2	2020-06-06	EPI_ISL_3716444	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_61227_2021_EPI_ISL_4297766_2021_04_14	sars_cov_2	2020-06-02	EPI_ISL_3716446	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_61237_2021_EPI_ISL_4297767_2021_04_14	sars_cov_2	2020-06-01	EPI_ISL_3716447	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_61240_2021_EPI_ISL_4297768_2021_04_14	sars_cov_2	2020-06-02	EPI_ISL_3716448	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_61257_2021_EPI_ISL_4297769_2021_04_14	sars_cov_2	2020-06-02	EPI_ISL_3716449	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_61269_2021_EPI_ISL_4297770_2021_04_15	sars_cov_2	2020-06-10	EPI_ISL_3716450	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_61281_2021_EPI_ISL_4297771_2021_04_15	sars_cov_2	2020-06-10	EPI_ISL_3716451	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IPM_06564_2021_EPI_ISL_4297772_2021_04_13	sars_cov_2	2020-06-10	EPI_ISL_3716452	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IP_01650_2020_EPI_ISL_508862_2020_03_20	sars_cov_2	2020-06-13	EPI_ISL_3716454	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_IP_01861_2020_EPI_ISL_508863_2020_03_22	sars_cov_2	2020-06-14	EPI_ISL_3716455	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_VIRO_5815_2020_EPI_ISL_625456_2020_05_04	sars_cov_2	2020-06-15	EPI_ISL_3716456	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_VIRO_33698_2020_EPI_ISL_677634_2020_09_16	sars_cov_2	2020-07-28	EPI_ISL_3716553	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_VIRO_2722_2020_EPI_ISL_677635_2020_03_26	sars_cov_2	2020-10-27	EPI_ISL_3716666	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_VIRO_2728_2020_EPI_ISL_677636_2020_03_26	sars_cov_2	2021-03-19	EPI_ISL_4297558	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_LA2M_111610_2021_EPI_ISL_7722671_2021_07_06	sars_cov_2	2021-03-19	EPI_ISL_4297559	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_LA2M_111647_2021_EPI_ISL_7722675_2021_07_06	sars_cov_2	2021-04-03	EPI_ISL_4297568	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_LA2M_111702_2021_EPI_ISL_7722680_2021_07_07	sars_cov_2	2021-03-30	EPI_ISL_4297580	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-I
hCoV_19_Madagascar_LA2M_111704_2021_EPI_ISL_7722685_2021_07_07	sars_cov_2	2020-04-30	EPI_ISL_3716389	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-II
hCoV_19_Madagascar_LA2M_111723_2021_EPI_ISL_7722689_2021_07_07	sars_cov_2	2020-05-20	EPI_ISL_3716416	Africa	Madagascar	Toamasina	Atsinanana	Toamasina-II
hCoV_19_Madagascar_LA2M_111732_2021_EPI_ISL_7722694_2021_07_07	sars_cov_2	2021-02-23	EPI_ISL_1660281	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_111735_2021_EPI_ISL_7722699_2021_07_07	sars_cov_2	2020-04-03	EPI_ISL_3716380	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_111788_2021_EPI_ISL_7722703_2021_07_08	sars_cov_2	2020-05-26	EPI_ISL_3716423	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_111793_2021_EPI_ISL_7722707_2021_07_08	sars_cov_2	2020-07-10	EPI_ISL_3716517	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_111805_2021_EPI_ISL_7722709_2021_07_08	sars_cov_2	2020-07-10	EPI_ISL_3716520	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_111985_2021_EPI_ISL_7722712_2021_07_08	sars_cov_2	2020-07-10	EPI_ISL_3716521	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_111988_2021_EPI_ISL_7722716_2021_07_08	sars_cov_2	2020-07-10	EPI_ISL_3716522	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112156_2021_EPI_ISL_7722721_2021_07_10	sars_cov_2	2020-07-10	EPI_ISL_3716523	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112158_2021_EPI_ISL_7722726_2021_07_10	sars_cov_2	2020-07-10	EPI_ISL_3716524	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112356_2021_EPI_ISL_7722731_2021_07_12	sars_cov_2	2020-08-19	EPI_ISL_3716588	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112359_2021_EPI_ISL_7722734_2021_07_12	sars_cov_2	2020-08-19	EPI_ISL_3716589	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112703_2021_EPI_ISL_7722739_2021_07_13	sars_cov_2	2020-08-19	EPI_ISL_3716590	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112749_2021_EPI_ISL_7722744_2021_07_13	sars_cov_2	2020-08-19	EPI_ISL_3716592	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112753_2021_EPI_ISL_7722749_2021_07_13	sars_cov_2	2020-08-19	EPI_ISL_3716593	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112898_2021_EPI_ISL_7722753_2021_07_15	sars_cov_2	2020-08-19	EPI_ISL_3716594	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112900_2021_EPI_ISL_7722758_2021_07_15	sars_cov_2	2020-09-11	EPI_ISL_3716628	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_112921_2021_EPI_ISL_7722763_2021_07_15	sars_cov_2	2020-09-30	EPI_ISL_3716645	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
hCoV_19_Madagascar_LA2M_113151_2021_EPI_ISL_7722768_2021_07_15	sars_cov_2	2020-09-30	EPI_ISL_3716646	Africa	Madagascar	Toliara	Atsimo-Andrefana	Toliara-I
